plasmid_ID	length_(bp)	#5-mers	#plasmid_5-mers	largest_non-plasmid_island_(#5-mers)
CP006054	299650	75	75	0
CP004026	69750	23	23	0
CP004028	56475	18	18	0
CP007558	1170890	306	306	0
CP017721	1141585	279	279	0
CP017722	23245	8	8	0
CP007728	57730	16	16	0
CP007729	1007785	253	253	0
CP007730	469305	123	123	0
CP007732	1133085	290	290	0
CP007733	331960	93	93	0
CP007734	1391260	337	337	0
CP007735	358220	85	85	0
CP007736	437520	117	117	0
CP008789	562430	146	146	0
CP008790	828270	212	212	0
CP008791	845525	229	229	0
CP008798	338535	84	84	0
CP008799	228795	65	65	0
CP008800	784170	192	192	0
CP008832	54870	16	16	0
CP008833	467595	122	122	0
CP008824	1357535	345	345	0
CP008825	1126980	282	282	0
CP008826	197755	50	50	0
CP008919	196995	58	58	0
CP008906	708010	168	168	0
CP008907	447310	107	107	0
CP008908	191175	54	54	0
CP008898	251035	62	62	0
CP008899	1017310	255	255	0
CP008900	198555	61	61	0
CP008901	191175	54	54	0
CP008930	783465	199	199	0
CP008931	479280	115	115	0
CP008932	281505	81	81	0
CP008933	1286280	328	328	0
CP013024	523710	144	144	0
CP013026	261185	73	73	0
CP013027	718315	200	200	0
CP022688	405960	104	104	0
CP011620	162255	46	46	0
CP011621	310845	88	88	0
CP011622	778665	203	203	0
CP011623	1005815	272	272	0
CP011644	155835	43	43	0
CP011645	304110	82	82	0
CP011646	397590	104	104	0
CP018666	13355	5	5	0
CP018667	16290	7	7	0
CP018668	180495	49	49	0
CP018669	378560	108	108	0
CP018670	784290	219	219	0
CP018672	37050	13	13	0
CP018673	187515	59	59	0
CP018674	280345	88	88	0
CP018675	798540	224	224	0
CP011575	178485	47	47	0
CP011576	194790	65	65	0
CP011577	529180	139	139	0
CP020824	237740	78	78	0
CP020826	237625	79	79	0
CP024490	303300	90	90	0
CP024491	20135	8	8	0
CP024492	21795	8	8	0
CP024493	10735	6	6	0
CP024494	13130	8	8	0
CP024571	831325	241	241	0
CP024572	638730	180	180	0
CP024573	380710	116	116	0
CP024574	22505	12	12	0
CP024575	8355	6	6	0
CP024564	831325	241	241	0
CP024565	638730	180	180	0
CP024566	377380	115	115	0
CP024567	15180	7	7	0
CP024568	12330	8	8	0
CP024569	8355	6	6	0
CP024483	1060255	259	259	0
CP024484	303300	90	90	0
CP024485	11300	5	5	0
CP024487	12035	8	8	0
CP023554	893025	238	238	0
CP023555	736000	208	208	0
CP023556	297000	63	63	0
CP023557	35910	12	12	0
CP023488	983910	241	241	0
CP023489	534550	150	150	0
CP016411	1214275	288	288	0
CP024500	1061045	260	260	0
CP024501	837875	233	233	0
CP024502	15315	5	5	0
CP024503	13985	6	6	0
CP024497	837740	233	233	0
CP024516	987545	244	244	0
CP024517	837740	233	233	0
CP024518	15315	5	5	0
CP024519	12920	5	5	0
CP024507	1286470	322	322	0
CP024508	994460	241	241	0
CP024509	592655	170	170	0
CP024510	427765	119	119	0
CP024511	11335	6	6	0
CP024513	12365	9	9	0
CP024514	11420	7	7	0
CP024543	474845	145	145	0
CP024544	311400	98	98	0
CP024546	475070	145	145	0
CP024547	311400	98	98	0
CP024529	982015	280	280	0
CP024530	638730	180	180	0
CP024531	377380	115	115	0
CP024532	15180	7	7	0
CP024533	12330	8	8	0
CP024534	6915	5	5	0
CP024522	982015	280	280	0
CP024523	638730	180	180	0
CP024524	377380	115	115	0
CP024525	14970	7	7	0
CP024526	12120	8	8	0
CP024527	8355	6	6	0
CP023542	715900	183	183	0
CP011395	234425	74	74	0
CP020902	1415520	377	377	0
CP020903	881380	240	240	0
CP020904	518365	149	149	0
CP020905	172410	52	52	0
CP014050	398170	118	118	0
CP014747	362750	83	83	0
CP014068	342695	93	93	0
CP015847	422940	108	108	0
CP022728	148330	45	45	0
CP016407	1239750	295	295	0
CP011613	14580	6	6	0
CP011614	378550	111	111	0
CP011615	489070	113	113	0
CP011616	506520	135	135	0
CP011617	443135	119	119	0
CP011592	14580	6	6	0
CP011593	286795	87	87	0
CP011594	463800	127	127	0
CP011595	489070	113	113	0
CP011596	437825	118	118	0
CP011627	54420	15	15	0
CP011628	61935	19	19	0
CP011629	134745	40	40	0
CP011630	198455	54	54	0
CP011631	241140	57	57	0
CP011632	357490	102	102	0
CP011633	614770	169	169	0
CP011634	939405	242	242	0
CP011635	1389840	344	344	0
CP011606	12765	5	5	0
CP011607	12465	5	5	0
CP011608	188340	53	53	0
CP011609	293740	86	86	0
CP011610	579805	143	143	0
CP011611	998625	290	290	0
CP013323	1040345	278	278	0
CP013324	734115	196	196	0
CP013325	205995	53	53	0
CP013326	308610	88	88	0
CP018348	37050	13	13	0
CP018349	187515	59	59	0
CP018350	273785	74	74	0
CP018351	796255	236	236	0
CP018353	57315	18	18	0
CP018354	189450	57	57	0
CP018355	903125	247	247	0
CP018357	13985	6	6	0
CP018358	11830	7	7	0
CP018359	13590	7	7	0
CP018360	494320	118	118	0
CP018361	1191445	318	318	0
CP011573	58710	12	12	0
CP011653	62460	20	20	0
CP011654	426080	109	109	0
CP011655	469125	136	136	0
CP011656	544945	149	149	0
CP011659	136695	42	42	0
CP011660	143745	49	49	0
CP011661	386630	92	92	0
CP011570	136695	42	42	0
CP011571	386630	92	92	0
CP011579	136695	42	42	0
CP011580	386630	92	92	0
CP011586	30420	8	8	0
CP011587	210235	56	56	0
CP011588	228315	73	73	0
CP011589	238080	65	65	0
CP011590	392895	94	94	0
CP011648	135735	41	41	0
CP011649	386630	92	92	0
CP011582	180435	49	49	0
CP011583	361955	93	93	0
CP011598	182580	50	50	0
CP011599	346240	103	103	0
CP011600	873740	222	222	0
CP011601	1211070	311	311	0
CP013657	617405	165	165	0
CP016583	147750	40	40	0
CP016584	20100	8	8	0
CP016585	399600	106	106	0
CP016512	147750	40	40	0
CP016513	24105	7	7	0
AP014566	548055	151	151	0
