plasmid_ID	length_(bp)	#5-mers	#plasmid_5-mers	largest_non-plasmid_island_(#5-mers)
CP006054	372702	75	75	0
CP004026	109998	23	23	0
CP004028	79671	18	18	0
CP007558	1323366	306	306	0
CP017721	1350001	279	279	0
CP017722	35309	8	8	0
CP007728	71930	16	16	0
CP007729	1176853	253	253	0
CP007730	548417	123	123	0
CP007732	1299953	290	290	0
CP007733	388036	93	93	0
CP007734	1633652	337	337	0
CP007735	430724	85	85	0
CP007736	541264	117	117	0
CP008789	646074	146	146	0
CP008790	940554	212	212	0
CP008791	991449	229	229	0
CP008798	409599	84	84	0
CP008799	277959	65	65	0
CP008800	936342	192	192	0
CP008832	66338	16	16	0
CP008833	548075	122	122	0
CP008824	1551411	345	345	0
CP008825	1355152	282	282	0
CP008826	228711	50	50	0
CP008919	234863	58	58	0
CP008906	849374	168	168	0
CP008907	534370	107	107	0
CP008908	239567	54	54	0
CP008898	299195	62	62	0
CP008899	1223514	255	255	0
CP008900	281263	61	61	0
CP008901	239567	54	54	0
CP008930	906977	199	199	0
CP008931	542628	115	115	0
CP008932	336089	81	81	0
CP008933	1475360	328	328	0
CP013024	587186	144	144	0
CP013026	307437	73	73	0
CP013027	841919	200	200	0
CP022688	449320	104	104	0
CP011620	190667	46	46	0
CP011621	373401	88	88	0
CP011622	861721	203	203	0
CP011623	1202747	272	272	0
CP011644	194923	43	43	0
CP011645	372026	82	82	0
CP011646	466326	104	104	0
CP018666	12340	5	5	0
CP018667	25522	7	7	0
CP018668	210583	49	49	0
CP018669	430464	108	108	0
CP018670	890586	219	219	0
CP018672	44586	13	13	0
CP018673	213563	59	59	0
CP018674	338493	88	88	0
CP018675	885452	224	224	0
CP011575	210181	47	47	0
CP011576	238286	65	65	0
CP011577	628712	139	139	0
CP020824	285036	78	78	0
CP020826	284977	79	79	0
CP024490	345076	90	90	0
CP024491	30655	8	8	0
CP024492	27491	8	8	0
CP024493	16203	6	6	0
CP024494	15518	8	8	0
CP024571	916709	241	241	0
CP024572	719474	180	180	0
CP024573	436834	116	116	0
CP024574	41805	12	12	0
CP024575	16971	6	6	0
CP024564	916709	241	241	0
CP024565	719474	180	180	0
CP024566	432856	115	115	0
CP024567	21676	7	7	0
CP024568	20506	8	8	0
CP024569	16971	6	6	0
CP024483	1186587	259	259	0
CP024484	345076	90	90	0
CP024485	14944	5	5	0
CP024487	15299	8	8	0
CP023554	1027909	238	238	0
CP023555	823780	208	208	0
CP023556	320236	63	63	0
CP023557	44354	12	12	0
CP023488	1090518	241	241	0
CP023489	604202	150	150	0
CP016411	1510111	288	288	0
CP024500	1186689	260	260	0
CP024501	1016355	233	233	0
CP024502	11191	5	5	0
CP024503	15689	6	6	0
CP024497	1015936	233	233	0
CP024516	1108737	244	244	0
CP024517	1015864	233	233	0
CP024518	11191	5	5	0
CP024519	12253	5	5	0
CP024507	1497394	322	322	0
CP024508	1112304	241	241	0
CP024509	681347	170	170	0
CP024510	478929	119	119	0
CP024511	16323	6	6	0
CP024513	15817	9	9	0
CP024514	15176	7	7	0
CP024543	536465	145	145	0
CP024544	348628	98	98	0
CP024546	536510	145	145	0
