plasmid_ID	length_(bp)	#5-mers	#plasmid_5-mers	largest_non-plasmid_island_(#5-mers)
CP006054	372702	75	75	0
CP004026	109998	23	8	9
CP004028	79671	18	8	10
CP007558	1323366	306	253	25
CP017721	1350001	279	219	26
CP017722	35309	8	8	0
CP007728	71930	16	16	0
CP007729	1176853	253	174	45
CP007730	548417	123	123	0
CP007732	1299953	290	240	22
CP007733	388036	93	89	3
CP007734	1633652	337	233	41
CP007735	430724	85	45	8
CP007736	541264	117	104	5
CP008789	646074	146	133	5
CP008790	940554	212	190	10
CP008791	991449	229	214	7
CP008798	409599	84	77	5
CP008799	277959	65	64	1
CP008800	936342	192	162	9
CP008832	66338	16	16	0
CP008833	548075	122	122	0
CP008824	1551411	345	251	26
CP008825	1355152	282	243	8
CP008826	228711	50	50	0
CP008919	234863	58	46	8
CP008906	849374	168	150	8
CP008907	534370	107	67	20
CP008908	239567	54	54	0
CP008898	299195	62	43	9
CP008899	1223514	255	221	8
CP008900	281263	61	61	0
CP008901	239567	54	54	0
CP008930	906977	199	176	7
CP008931	542628	115	115	0
CP008932	336089	81	65	15
CP008933	1475360	328	293	7
CP013024	587186	144	139	5
CP013026	307437	73	73	0
CP013027	841919	200	124	20
CP022688	449320	104	102	1
CP011620	190667	46	46	0
CP011621	373401	88	88	0
CP011622	861721	203	199	4
CP011623	1202747	272	206	22
CP011644	194923	43	38	5
CP011645	372026	82	78	4
CP011646	466326	104	77	13
CP018667	25522	7	0	7
CP018668	210583	49	48	1
CP018669	430464	108	104	4
CP018670	890586	219	185	6
CP018672	44586	13	13	0
CP018673	213563	59	59	0
CP018674	338493	88	80	5
CP018675	885452	224	214	5
CP011575	210181	47	47	0
CP011576	238286	65	63	2
CP011577	628712	139	129	5
CP020824	285036	78	76	1
CP020826	284977	79	77	1
CP024490	345076	90	76	11
CP024491	30655	8	7	1
CP024492	27491	8	7	1
CP024571	916709	241	232	6
CP024572	719474	180	170	5
CP024573	436834	116	108	6
CP024574	41805	12	8	3
CP024564	916709	241	232	6
CP024565	719474	180	170	5
CP024566	432856	115	107	6
CP024567	21676	7	4	3
CP024568	20506	8	8	0
CP024483	1186587	259	228	9
CP024484	345076	90	76	11
CP023554	1027909	238	210	9
CP023555	823780	208	190	9
CP023556	320236	63	40	19
CP023557	44354	12	12	0
CP023488	1090518	241	200	15
CP023489	604202	150	141	5
CP016411	1510111	288	229	18
CP024500	1186689	260	227	9
CP024501	1016355	233	229	3
CP024497	1015936	233	229	3
CP024516	1108737	244	211	9
CP024517	1015864	233	229	3
CP024507	1497394	322	259	18
CP024508	1112304	241	209	9
CP024509	681347	170	150	9
CP024510	478929	119	101	13
CP024543	536465	145	143	2
CP024544	348628	98	96	2
CP024546	536510	145	143	2
CP024547	348628	98	96	2
CP024529	1082827	280	257	6
CP024530	719474	180	170	5
CP024531	432856	115	107	6
CP024532	21676	7	4	3
CP024533	20506	8	8	0
CP024522	1082827	280	257	6
CP024523	719474	180	170	5
CP024524	432856	115	107	6
CP024525	21634	7	4	3
CP024526	20464	8	8	0
CP023542	788988	183	149	14
CP011395	284229	74	72	1
CP020902	1637152	377	319	14
CP020903	977736	240	218	9
CP020904	585805	149	149	0
CP020905	198926	52	51	1
CP014050	455366	118	118	0
CP014747	400578	83	65	7
CP014068	421043	93	67	10
CP015847	466984	108	92	6
CP022728	168422	45	45	0
CP016407	1540438	295	237	18
CP011613	24556	6	6	0
CP011614	444090	111	108	3
CP011615	550234	113	106	5
CP011616	571796	135	135	0
CP011617	549903	119	102	5
CP011592	24556	6	6	0
CP011593	332999	87	87	0
CP011594	538340	127	127	0
CP011595	550234	113	106	5
CP011596	543533	118	100	5
CP011627	67980	15	12	3
CP011628	76663	19	19	0
CP011629	161389	40	40	0
CP011630	236491	54	49	3
CP011631	262612	57	33	22
CP011632	406106	102	99	3
CP011633	724226	169	136	7
CP011634	1098601	242	230	6
CP011635	1609792	344	229	25
CP011608	217052	53	46	6
CP011609	341188	86	85	1
CP011610	656429	143	121	6
CP011611	1174561	290	267	6
CP013323	1239845	278	206	22
CP013324	812767	196	192	4
CP013325	239459	53	51	2
CP013326	372954	88	88	0
CP018348	44586	13	13	0
CP018349	211431	59	59	0
CP018350	322437	74	58	12
CP018351	899011	236	211	6
CP018353	66827	18	18	0
CP018354	220858	57	54	3
CP018355	1010797	247	217	9
CP018359	24802	7	7	0
CP018360	542932	118	99	6
CP018361	1348753	318	253	11
CP011573	67666	12	12	0
CP011653	77520	20	14	6
CP011654	488708	109	87	11
CP011655	532577	136	136	0
CP011656	625773	149	146	3
CP011659	161779	42	42	0
CP011660	177937	49	43	4
CP011661	439134	92	83	5
CP011570	161779	42	42	0
CP011571	439134	92	83	5
CP011579	161779	42	42	0
CP011580	439134	92	83	5
CP011586	47696	8	5	3
CP011587	247331	56	37	11
CP011588	279371	73	50	17
CP011589	284168	65	64	1
CP011590	465947	94	51	22
CP011648	161587	41	41	0
CP011649	439134	92	83	5
CP011582	209819	49	49	0
CP011583	413139	93	84	5
CP011598	211000	50	49	1
CP011599	401192	103	100	3
CP011600	1035116	222	188	7
CP011601	1424690	311	275	8
CP013657	698473	165	146	9
CP016583	180338	40	40	0
CP016584	30608	8	8	0
CP016585	477812	106	104	2
CP016512	180338	40	40	0
CP016513	31409	7	7	0
AP014566	640055	151	147	2
