plasmid_ID	length_(bp)	#5-mers	#plasmid_5-mers	largest_non-plasmid_island_(#5-mers)	BioProject	BioSample	Sequence Read Archive
CP006054	299650	75	75	0	PRJNA186035	SAMN01823701	NA
CP004026	69750	23	5	18	PRJNA183458	SAMN01832085	NA
CP004028	56475	18	6	12	PRJNA183458	SAMN01832085	NA
CP007558	1170890	306	252	25	PRJNA202883	SAMN02713684	SRZ080794
CP017721	1141585	279	141	36	PRJNA186035	SAMN02800603	NA
CP017722	23245	8	5	3	PRJNA186035	SAMN02800603	NA
CP007728	57730	16	16	0	PRJNA73843	SAMN01057614	SRZ080793
CP007729	1007785	253	173	45	PRJNA73843	SAMN01057614	SRZ080793
CP007730	469305	123	123	0	PRJNA73843	SAMN01057614	SRZ080793
CP007732	1133085	290	239	22	PRJNA198783	SAMN02713685	SRZ080792
CP007733	331960	93	85	8	PRJNA198783	SAMN02713685	SRZ080792
CP007734	1391260	337	235	41	PRJNA198783	SAMN02713685	SRZ080792
CP007735	358220	85	46	19	PRJNA198783	SAMN02713685	SRZ080792
CP007736	437520	117	101	5	PRJNA198783	SAMN02713685	SRZ080792
CP008789	562430	146	131	6	PRJNA202895	SAMN02786843	SRZ080791
CP008790	828270	212	190	10	PRJNA202895	SAMN02786843	SRZ080791
CP008791	845525	229	213	7	PRJNA202895	SAMN02786843	SRZ080791
CP008798	338535	84	74	5	PRJNA173233	SAMN02786855	SRZ080790
CP008799	228795	65	64	1	PRJNA173233	SAMN02786855	SRZ080790
CP008800	784170	192	160	9	PRJNA173233	SAMN02786855	SRZ080790
CP008832	54870	16	16	0	PRJNA198784	SAMN02786856	SRZ080807
CP008833	467595	122	122	0	PRJNA198784	SAMN02786856	SRZ080807
CP008824	1357535	345	254	25	PRJNA202893	SAMN02713682	SRZ080959
CP008825	1126980	282	244	8	PRJNA202893	SAMN02713682	SRZ080959
CP008826	197755	50	50	0	PRJNA202893	SAMN02713682	SRZ080959
CP008919	196995	58	11	42	PRJNA244575	SAMN02904571	NA
CP008906	708010	168	144	8	PRJNA202892	SAMN02713646	SRZ081327
CP008907	447310	107	62	20	PRJNA202892	SAMN02713646	SRZ081327
CP008908	191175	54	54	0	PRJNA202892	SAMN02713646	SRZ081327
CP008898	251035	62	39	12	PRJNA202894	SAMN02713683	SRZ081328
CP008899	1017310	255	221	8	PRJNA202894	SAMN02713683	SRZ081328
CP008900	198555	61	15	26	PRJNA202894	SAMN02713683	SRZ081328
CP008901	191175	54	54	0	PRJNA202894	SAMN02713683	SRZ081328
CP008930	783465	199	167	8	PRJNA253300	SAMN02885365	NA
CP008931	479280	115	115	0	PRJNA253300	SAMN02885365	NA
CP008932	281505	81	61	20	PRJNA253300	SAMN02885365	NA
CP008933	1286280	328	291	7	PRJNA253300	SAMN02885365	NA
CP013024	523710	144	143	1	PRJNA218110	SAMN02991226	NA
CP013026	261185	73	73	0	PRJNA218110	SAMN02991226	NA
CP013027	718315	200	117	20	PRJNA218110	SAMN02991226	NA
CP022688	405960	104	102	1	PRJNA218110	SAMN03256350	NA
CP011620	162255	46	45	1	PRJNA246471	SAMN03024590	NA
CP011621	310845	88	88	0	PRJNA246471	SAMN03024590	NA
CP011622	778665	203	201	2	PRJNA246471	SAMN03024590	NA
CP011623	1005815	272	201	22	PRJNA246471	SAMN03024590	NA
CP011644	155835	43	35	5	PRJNA246471	SAMN03024583	NA
CP011645	304110	82	77	5	PRJNA246471	SAMN03024583	NA
CP011646	397590	104	81	13	PRJNA246471	SAMN03024583	NA
CP018668	180495	49	47	2	PRJNA246471	SAMN03024576	NA
CP018669	378560	108	107	1	PRJNA246471	SAMN03024576	NA
CP018670	784290	219	173	14	PRJNA246471	SAMN03024576	NA
CP018672	37050	13	11	2	PRJNA246471	SAMN03024585	NA
CP018673	187515	59	59	0	PRJNA246471	SAMN03024585	NA
CP018674	280345	88	77	7	PRJNA246471	SAMN03024585	NA
CP018675	798540	224	207	5	PRJNA246471	SAMN03024585	NA
CP011575	178485	47	47	0	PRJNA246471	SAMN03024610	NA
CP011576	194790	65	62	2	PRJNA246471	SAMN03024610	NA
CP011577	529180	139	126	5	PRJNA246471	SAMN03024610	NA
CP020824	237740	78	78	0	PRJNA242847	SAMN03702837	NA
CP020826	237625	79	76	3	PRJNA242847	SAMN03702839	NA
CP024490	303300	90	82	5	PRJNA351909	SAMEA3357223	NA
CP024491	20135	8	2	6	PRJNA351909	SAMEA3357223	NA
CP024492	21795	8	5	3	PRJNA351909	SAMEA3357223	NA
CP024571	831325	241	222	6	PRJNA351909	SAMEA3357268	NA
CP024572	638730	180	167	5	PRJNA351909	SAMEA3357268	NA
CP024573	380710	116	98	10	PRJNA351909	SAMEA3357268	NA
CP024574	22505	12	11	1	PRJNA351909	SAMEA3357268	NA
CP024564	831325	241	222	6	PRJNA351909	SAMEA3357272	NA
CP024565	638730	180	167	5	PRJNA351909	SAMEA3357272	NA
CP024566	377380	115	97	10	PRJNA351909	SAMEA3357272	NA
CP024483	1060255	259	224	9	PRJNA351909	SAMEA3357193	NA
CP024484	303300	90	82	5	PRJNA351909	SAMEA3357193	NA
CP023554	893025	238	201	12	PRJNA287968	SAMN04011439	NA
CP023555	736000	208	183	9	PRJNA287968	SAMN04011439	NA
CP023556	297000	63	41	18	PRJNA287968	SAMN04011439	NA
CP023557	35910	12	11	1	PRJNA287968	SAMN04011439	NA
CP023488	983910	241	198	13	PRJNA287968	SAMN04011426	NA
