plasmid_ID	length_(bp)	#5-mers	#plasmid_5-mers	largest_non-plasmid_island_(#5-mers)	BioProject	BioSample	Sequence Read Archive
CP006054	299650	75	75	0	PRJNA186035	SAMN01823701	NA
CP004026	69750	23	23	0	PRJNA183458	SAMN01832085	NA
CP004028	56475	18	18	0	PRJNA183458	SAMN01832085	NA
CP007558	1170890	306	306	0	PRJNA202883	SAMN02713684	SRZ080794
CP017721	1141585	279	279	0	PRJNA186035	SAMN02800603	NA
CP017722	23245	8	8	0	PRJNA186035	SAMN02800603	NA
CP007728	57730	16	16	0	PRJNA73843	SAMN01057614	SRZ080793
CP007729	1007785	253	253	0	PRJNA73843	SAMN01057614	SRZ080793
CP007730	469305	123	123	0	PRJNA73843	SAMN01057614	SRZ080793
CP007732	1133085	290	290	0	PRJNA198783	SAMN02713685	SRZ080792
CP007733	331960	93	93	0	PRJNA198783	SAMN02713685	SRZ080792
CP007734	1391260	337	337	0	PRJNA198783	SAMN02713685	SRZ080792
CP007735	358220	85	85	0	PRJNA198783	SAMN02713685	SRZ080792
CP007736	437520	117	117	0	PRJNA198783	SAMN02713685	SRZ080792
CP008789	562430	146	146	0	PRJNA202895	SAMN02786843	SRZ080791
CP008790	828270	212	212	0	PRJNA202895	SAMN02786843	SRZ080791
CP008791	845525	229	229	0	PRJNA202895	SAMN02786843	SRZ080791
CP008798	338535	84	84	0	PRJNA173233	SAMN02786855	SRZ080790
CP008799	228795	65	65	0	PRJNA173233	SAMN02786855	SRZ080790
CP008800	784170	192	192	0	PRJNA173233	SAMN02786855	SRZ080790
CP008832	54870	16	16	0	PRJNA198784	SAMN02786856	SRZ080807
CP008833	467595	122	122	0	PRJNA198784	SAMN02786856	SRZ080807
CP008824	1357535	345	345	0	PRJNA202893	SAMN02713682	SRZ080959
CP008825	1126980	282	282	0	PRJNA202893	SAMN02713682	SRZ080959
CP008826	197755	50	50	0	PRJNA202893	SAMN02713682	SRZ080959
CP008919	196995	58	58	0	PRJNA244575	SAMN02904571	NA
CP008906	708010	168	168	0	PRJNA202892	SAMN02713646	SRZ081327
CP008907	447310	107	107	0	PRJNA202892	SAMN02713646	SRZ081327
CP008908	191175	54	54	0	PRJNA202892	SAMN02713646	SRZ081327
CP008898	251035	62	62	0	PRJNA202894	SAMN02713683	SRZ081328
CP008899	1017310	255	255	0	PRJNA202894	SAMN02713683	SRZ081328
CP008900	198555	61	61	0	PRJNA202894	SAMN02713683	SRZ081328
CP008901	191175	54	54	0	PRJNA202894	SAMN02713683	SRZ081328
CP008930	783465	199	199	0	PRJNA253300	SAMN02885365	NA
CP008931	479280	115	115	0	PRJNA253300	SAMN02885365	NA
CP008932	281505	81	81	0	PRJNA253300	SAMN02885365	NA
CP008933	1286280	328	328	0	PRJNA253300	SAMN02885365	NA
CP013024	523710	144	144	0	PRJNA218110	SAMN02991226	NA
CP013026	261185	73	73	0	PRJNA218110	SAMN02991226	NA
CP013027	718315	200	200	0	PRJNA218110	SAMN02991226	NA
CP022688	405960	104	104	0	PRJNA218110	SAMN03256350	NA
CP011620	162255	46	46	0	PRJNA246471	SAMN03024590	NA
CP011621	310845	88	88	0	PRJNA246471	SAMN03024590	NA
CP011622	778665	203	203	0	PRJNA246471	SAMN03024590	NA
CP011623	1005815	272	272	0	PRJNA246471	SAMN03024590	NA
CP011644	155835	43	43	0	PRJNA246471	SAMN03024583	NA
CP011645	304110	82	82	0	PRJNA246471	SAMN03024583	NA
CP011646	397590	104	104	0	PRJNA246471	SAMN03024583	NA
CP018666	13355	5	5	0	PRJNA246471	SAMN03024576	NA
CP018667	16290	7	7	0	PRJNA246471	SAMN03024576	NA
CP018668	180495	49	49	0	PRJNA246471	SAMN03024576	NA
CP018669	378560	108	108	0	PRJNA246471	SAMN03024576	NA
CP018670	784290	219	219	0	PRJNA246471	SAMN03024576	NA
CP018672	37050	13	13	0	PRJNA246471	SAMN03024585	NA
CP018673	187515	59	59	0	PRJNA246471	SAMN03024585	NA
CP018674	280345	88	88	0	PRJNA246471	SAMN03024585	NA
CP018675	798540	224	224	0	PRJNA246471	SAMN03024585	NA
CP011575	178485	47	47	0	PRJNA246471	SAMN03024610	NA
CP011576	194790	65	65	0	PRJNA246471	SAMN03024610	NA
CP011577	529180	139	139	0	PRJNA246471	SAMN03024610	NA
CP020824	237740	78	78	0	PRJNA242847	SAMN03702837	NA
CP020826	237625	79	79	0	PRJNA242847	SAMN03702839	NA
CP024490	303300	90	90	0	PRJNA351909	SAMEA3357223	NA
CP024491	20135	8	8	0	PRJNA351909	SAMEA3357223	NA
CP024492	21795	8	8	0	PRJNA351909	SAMEA3357223	NA
CP024493	10735	6	6	0	PRJNA351909	SAMEA3357223	NA
CP024494	13130	8	8	0	PRJNA351909	SAMEA3357223	NA
CP024571	831325	241	241	0	PRJNA351909	SAMEA3357268	NA
CP024572	638730	180	180	0	PRJNA351909	SAMEA3357268	NA
CP024573	380710	116	116	0	PRJNA351909	SAMEA3357268	NA
CP024574	22505	12	12	0	PRJNA351909	SAMEA3357268	NA
CP024575	8355	6	6	0	PRJNA351909	SAMEA3357268	NA
CP024564	831325	241	241	0	PRJNA351909	SAMEA3357272	NA
CP024565	638730	180	180	0	PRJNA351909	SAMEA3357272	NA
CP024566	377380	115	115	0	PRJNA351909	SAMEA3357272	NA
CP024567	15180	7	7	0	PRJNA351909	SAMEA3357272	NA
CP024568	12330	8	8	0	PRJNA351909	SAMEA3357272	NA
CP024569	8355	6	6	0	PRJNA351909	SAMEA3357272	NA
CP024483	1060255	259	259	0	PRJNA351909	SAMEA3357193	NA
CP024484	303300	90	90	0	PRJNA351909	SAMEA3357193	NA
CP024485	11300	5	5	0	PRJNA351909	SAMEA3357193	NA
CP024487	12035	8	8	0	PRJNA351909	SAMEA3357193	NA
CP023554	893025	238	238	0	PRJNA287968	SAMN04011439	NA
